Name,Input Size,Kernel Size,Median Elapsed Time,Max Norm of Difference
FFT,16,1,0.3616670146584511,5.549296020035399e-6
FFT,16,3,0.6415420211851597,0.000018672531950869597
FFT,16,5,0.3669590223580599,0.00006952084368094802
FFT,16,7,0.31274999491870403,0.000056053337175399065
FFT,16,15,0.3310830798000097,0.0001649664918659255
FFT,32,1,0.5000419914722443,0.0000385769089916721
FFT,32,3,0.7610421162098646,0.00022401886235456914
FFT,32,5,0.30925008468329906,0.00008674470882397145
FFT,32,7,0.6716668140143156,0.00040829976205714047
FFT,32,15,0.688791973516345,0.0012973400298506021
FFT,32,31,0.6414160598069429,0.002666971879079938
FFT,64,1,0.3158331383019686,0.000037904224882368
FFT,64,3,0.49741705879569054,0.00010183699487242848
FFT,64,5,1.0450419504195452,0.000923037005122751
FFT,64,15,0.46979193575680256,0.000955215364228934
FFT,64,31,0.9882908780127764,0.006734611000865698
FFT,64,63,0.6702081300318241,0.008847097866237164
