CMDLINE ./build/main
MEM 757.437500 1782602566.0940
MEM 757.437500 1782602566.1491
MEM 757.437500 1782602566.2044
MEM 757.437500 1782602566.2598
MEM 757.437500 1782602566.3151
MEM 757.437500 1782602566.3704
MEM 757.437500 1782602566.4221
MEM 757.437500 1782602566.4773
MEM 757.437500 1782602566.5326
MEM 757.437500 1782602566.5879
MEM 757.437500 1782602566.6407
MEM 757.437500 1782602566.6960
MEM 757.437500 1782602566.7491
MEM 757.437500 1782602566.8024
MEM 757.437500 1782602566.8567
MEM 757.437500 1782602566.9074
MEM 757.437500 1782602566.9627
MEM 757.437500 1782602567.0157
MEM 757.437500 1782602567.0712
MEM 757.437500 1782602567.1240
MEM 757.437500 1782602567.1792
MEM 757.437500 1782602567.2345
MEM 757.437500 1782602567.2899
MEM 757.437500 1782602567.3454
MEM 757.437500 1782602567.4006
MEM 757.437500 1782602567.4559
MEM 757.437500 1782602567.5112
MEM 757.437500 1782602567.5664
MEM 757.437500 1782602567.6217
MEM 757.437500 1782602567.6770
MEM 757.437500 1782602567.7323
MEM 757.437500 1782602567.7877
MEM 757.437500 1782602567.8398
MEM 757.437500 1782602567.8908
MEM 757.437500 1782602567.9461
MEM 757.437500 1782602567.9981
MEM 757.437500 1782602568.0534
MEM 757.437500 1782602568.1088
MEM 757.437500 1782602568.1640
MEM 757.437500 1782602568.2190
MEM 757.437500 1782602568.2741
MEM 757.437500 1782602568.3293
MEM 757.437500 1782602568.3824
MEM 757.437500 1782602568.4368
MEM 757.437500 1782602568.4907
MEM 757.437500 1782602568.5440
MEM 757.437500 1782602568.5993
MEM 757.437500 1782602568.6545
MEM 757.437500 1782602568.7086
MEM 757.437500 1782602568.7616
MEM 757.437500 1782602568.8148
MEM 757.437500 1782602568.8695
MEM 757.437500 1782602568.9231
MEM 757.437500 1782602568.9773
MEM 757.437500 1782602569.0324
MEM 757.437500 1782602569.0878
MEM 757.437500 1782602569.1398
MEM 757.437500 1782602569.1951
MEM 757.437500 1782602569.2504
MEM 757.437500 1782602569.3023
MEM 757.437500 1782602569.3575
MEM 757.437500 1782602569.4128
MEM 757.437500 1782602569.4658
MEM 757.437500 1782602569.5197
MEM 757.437500 1782602569.5741
MEM 757.437500 1782602569.6294
MEM 757.437500 1782602569.6824
MEM 757.437500 1782602569.7356
MEM 757.437500 1782602569.7898
MEM 757.437500 1782602569.8453
MEM 757.437500 1782602569.8992
MEM 757.437500 1782602569.9546
MEM 757.437500 1782602570.0084
MEM 757.437500 1782602570.0637
MEM 757.437500 1782602570.1157
MEM 757.437500 1782602570.1710
MEM 757.437500 1782602570.2232
MEM 757.437500 1782602570.2773
MEM 757.437500 1782602570.3314
MEM 757.437500 1782602570.3835
MEM 757.437500 1782602570.4390
MEM 757.437500 1782602570.4940
MEM 757.437500 1782602570.5493
MEM 757.437500 1782602570.6045
MEM 757.437500 1782602570.6574
MEM 757.437500 1782602570.7126
MEM 757.437500 1782602570.7657
MEM 757.437500 1782602570.8195
MEM 757.437500 1782602570.8735
MEM 757.437500 1782602570.9241
MEM 757.437500 1782602570.9794
MEM 757.437500 1782602571.0348
MEM 757.437500 1782602571.0901
MEM 757.437500 1782602571.1439
MEM 757.437500 1782602571.1990
MEM 757.437500 1782602571.2543
MEM 757.437500 1782602571.3074
MEM 757.437500 1782602571.3627
MEM 757.437500 1782602571.4159
MEM 757.437500 1782602571.4695
MEM 757.437500 1782602571.5231
MEM 757.437500 1782602571.5785
MEM 757.437500 1782602571.6336
MEM 757.437500 1782602571.6890
MEM 757.437500 1782602571.7440
MEM 757.437500 1782602571.7991
MEM 757.437500 1782602571.8529
MEM 757.437500 1782602571.9065
MEM 757.437500 1782602571.9574
MEM 757.437500 1782602572.0126
MEM 757.437500 1782602572.0657
MEM 757.437500 1782602572.1211
MEM 757.437500 1782602572.1741
MEM 757.437500 1782602572.2294
MEM 757.437500 1782602572.2834
MEM 757.437500 1782602572.3387
MEM 757.437500 1782602572.3940
MEM 757.437500 1782602572.4491
MEM 757.437500 1782602572.5044
MEM 757.437500 1782602572.5585
MEM 757.437500 1782602572.6141
MEM 757.437500 1782602572.6658
MEM 757.437500 1782602572.7195
MEM 757.437500 1782602572.7731
MEM 757.437500 1782602572.8285
MEM 757.437500 1782602572.8824
MEM 757.437500 1782602572.9329
MEM 757.437500 1782602572.9882
MEM 757.437500 1782602573.0435
MEM 757.437500 1782602573.0982
MEM 757.437500 1782602573.1534
MEM 757.437500 1782602573.2087
MEM 757.437500 1782602573.2639
MEM 757.437500 1782602573.3158
MEM 757.437500 1782602573.3694
MEM 757.437500 1782602573.4232
MEM 757.437500 1782602573.4784
MEM 757.437500 1782602573.5325
MEM 757.437500 1782602573.5877
MEM 757.437500 1782602573.6403
MEM 757.437500 1782602573.6956
MEM 757.437500 1782602573.7490
MEM 757.437500 1782602573.8043
MEM 757.437500 1782602573.8596
MEM 757.437500 1782602573.9150
MEM 757.437500 1782602573.9703
MEM 757.437500 1782602574.0256
MEM 757.437500 1782602574.0770
MEM 757.437500 1782602574.1315
MEM 757.437500 1782602574.1826
MEM 757.437500 1782602574.2357
MEM 757.437500 1782602574.2911
MEM 757.437500 1782602574.3464
MEM 757.437500 1782602574.3993
MEM 757.437500 1782602574.4545
MEM 757.437500 1782602574.5076
MEM 757.437500 1782602574.5630
MEM 757.437500 1782602574.6173
MEM 757.437500 1782602574.6696
MEM 757.437500 1782602574.7249
MEM 757.437500 1782602574.7802
MEM 757.437500 1782602574.8338
MEM 757.437500 1782602574.8887
MEM 757.437500 1782602574.9441
MEM 757.437500 1782602574.9994
MEM 757.437500 1782602575.0540
MEM 757.437500 1782602575.1075
MEM 757.437500 1782602575.1606
MEM 757.437500 1782602575.2160
MEM 757.437500 1782602575.2697
MEM 757.437500 1782602575.3242
MEM 757.437500 1782602575.3795
MEM 757.437500 1782602575.4349
MEM 757.437500 1782602575.4852
MEM 757.437500 1782602575.5405
MEM 757.437500 1782602575.5957
MEM 757.437500 1782602575.6490
MEM 757.437500 1782602575.7042
MEM 757.437500 1782602575.7595
MEM 757.437500 1782602575.8124
MEM 757.437500 1782602575.8659
MEM 757.437500 1782602575.9196
MEM 757.437500 1782602575.9749
MEM 757.437500 1782602576.0302
MEM 757.437500 1782602576.0824
MEM 757.437500 1782602576.1377
MEM 757.437500 1782602576.1907
MEM 757.437500 1782602576.2460
MEM 757.437500 1782602576.2991
MEM 757.437500 1782602576.3525
MEM 757.437500 1782602576.4042
MEM 757.437500 1782602576.4597
MEM 757.437500 1782602576.5138
MEM 757.437500 1782602576.5692
MEM 757.437500 1782602576.6243
MEM 757.437500 1782602576.6799
MEM 757.437500 1782602576.7336
MEM 757.437500 1782602576.7891
MEM 757.437500 1782602576.8446
MEM 757.437500 1782602576.8993
MEM 757.437500 1782602576.9524
MEM 757.437500 1782602577.0077
MEM 757.437500 1782602577.0631
MEM 757.437500 1782602577.1160
MEM 757.437500 1782602577.1699
MEM 757.437500 1782602577.2253
MEM 757.437500 1782602577.2774
MEM 757.437500 1782602577.3324
MEM 757.437500 1782602577.3877
MEM 757.437500 1782602577.4398
MEM 757.437500 1782602577.4946
MEM 757.437500 1782602577.5491
MEM 757.437500 1782602577.6023
MEM 757.437500 1782602577.6542
MEM 757.437500 1782602577.7087
MEM 757.437500 1782602577.7630
MEM 757.437500 1782602577.8176
MEM 757.437500 1782602577.8729
MEM 757.437500 1782602577.9282
MEM 757.437500 1782602577.9835
MEM 757.437500 1782602578.0388
MEM 757.437500 1782602578.0940
MEM 757.437500 1782602578.1493
MEM 757.437500 1782602578.2024
MEM 757.437500 1782602578.2560
MEM 757.437500 1782602578.3113
MEM 757.437500 1782602578.3648
MEM 757.437500 1782602578.4201
MEM 757.437500 1782602578.4735
MEM 757.437500 1782602578.5288
MEM 757.437500 1782602578.5809
MEM 757.437500 1782602578.6363
MEM 757.437500 1782602578.6909
MEM 757.437500 1782602578.7462
MEM 757.437500 1782602578.7991
MEM 757.437500 1782602578.8543
MEM 757.437500 1782602578.9068
MEM 757.437500 1782602578.9590
MEM 757.437500 1782602579.0143
MEM 757.437500 1782602579.0696
MEM 757.437500 1782602579.1222
MEM 757.437500 1782602579.1773
MEM 757.437500 1782602579.2324
MEM 757.437500 1782602579.2857
MEM 757.437500 1782602579.3407
MEM 757.437500 1782602579.3961
MEM 757.437500 1782602579.4491
MEM 757.437500 1782602579.5044
MEM 757.437500 1782602579.5574
MEM 757.437500 1782602579.6127
MEM 757.437500 1782602579.6657
MEM 757.437500 1782602579.7210
MEM 757.437500 1782602579.7762
MEM 757.437500 1782602579.8312
MEM 757.437500 1782602579.8856
MEM 757.437500 1782602579.9410
MEM 757.437500 1782602579.9964
MEM 757.437500 1782602580.0517
MEM 757.437500 1782602580.1071
MEM 757.437500 1782602580.1608
MEM 757.437500 1782602580.2148
MEM 757.437500 1782602580.2701
MEM 757.437500 1782602580.3249
MEM 757.437500 1782602580.3793
MEM 757.437500 1782602580.4327
MEM 757.437500 1782602580.4857
MEM 757.437500 1782602580.5410
MEM 757.437500 1782602580.5963
MEM 757.437500 1782602580.6500
MEM 757.437500 1782602580.7052
MEM 757.437500 1782602580.7605
MEM 757.437500 1782602580.8157
MEM 757.437500 1782602580.8709
MEM 757.437500 1782602580.9264
MEM 757.437500 1782602580.9817
MEM 757.437500 1782602581.0356
MEM 757.437500 1782602581.0907
MEM 757.437500 1782602581.1460
MEM 757.437500 1782602581.2013
MEM 757.437500 1782602581.2565
MEM 757.437500 1782602581.3106
MEM 757.437500 1782602581.3623
MEM 757.437500 1782602581.4175
MEM 757.437500 1782602581.4718
MEM 757.437500 1782602581.5241
MEM 757.437500 1782602581.5794
MEM 757.437500 1782602581.6328
MEM 757.437500 1782602581.6881
MEM 757.437500 1782602581.7408
MEM 757.437500 1782602581.7939
MEM 757.437500 1782602581.8492
MEM 757.437500 1782602581.8997
MEM 757.437500 1782602581.9547
MEM 757.437500 1782602582.0075
MEM 757.437500 1782602582.0628
MEM 757.437500 1782602582.1179
MEM 757.437500 1782602582.1723
MEM 757.437500 1782602582.2276
MEM 757.437500 1782602582.2826
MEM 757.437500 1782602582.3379
MEM 757.437500 1782602582.3932
MEM 757.437500 1782602582.4453
MEM 757.437500 1782602582.4991
MEM 757.437500 1782602582.5544
MEM 757.437500 1782602582.6074
MEM 757.437500 1782602582.6627
MEM 757.437500 1782602582.7157
MEM 757.437500 1782602582.7710
MEM 757.437500 1782602582.8218
MEM 757.437500 1782602582.8731
MEM 757.437500 1782602582.9274
MEM 757.437500 1782602582.9825
MEM 757.437500 1782602583.0378
MEM 757.437500 1782602583.0908
MEM 757.437500 1782602583.1461
MEM 757.437500 1782602583.1995
MEM 757.437500 1782602583.2532
MEM 757.437500 1782602583.3077
MEM 757.437500 1782602583.3630
MEM 757.437500 1782602583.4182
MEM 757.437500 1782602583.4735
MEM 757.437500 1782602583.5288
MEM 757.437500 1782602583.5841
MEM 757.437500 1782602583.6367
MEM 757.437500 1782602583.6901
MEM 757.437500 1782602583.7407
MEM 757.437500 1782602583.7943
MEM 757.437500 1782602583.8495
MEM 757.437500 1782602583.9007
MEM 757.437500 1782602583.9523
MEM 757.437500 1782602584.0059
MEM 757.437500 1782602584.0574
MEM 757.437500 1782602584.1127
MEM 757.437500 1782602584.1659
MEM 757.437500 1782602584.2212
MEM 757.437500 1782602584.2742
MEM 757.437500 1782602584.3294
MEM 757.437500 1782602584.3847
MEM 757.437500 1782602584.4401
MEM 757.437500 1782602584.4946
MEM 757.437500 1782602584.5491
MEM 757.437500 1782602584.6043
MEM 757.437500 1782602584.6596
MEM 757.437500 1782602584.7148
MEM 757.437500 1782602584.7658
MEM 757.437500 1782602584.8211
MEM 757.437500 1782602584.8741
MEM 757.437500 1782602584.9287
MEM 757.437500 1782602584.9825
MEM 757.437500 1782602585.0378
MEM 757.437500 1782602585.0907
MEM 757.437500 1782602585.1460
MEM 757.437500 1782602585.1977
MEM 757.437500 1782602585.2523
MEM 757.437500 1782602585.3076
MEM 757.437500 1782602585.3631
MEM 757.437500 1782602585.4184
MEM 757.437500 1782602585.4731
MEM 757.437500 1782602585.5237
MEM 757.437500 1782602585.5741
MEM 757.437500 1782602585.6294
MEM 757.437500 1782602585.6834
MEM 757.437500 1782602585.7370
MEM 757.437500 1782602585.7922
MEM 757.437500 1782602585.8439
MEM 757.437500 1782602585.8967
MEM 757.437500 1782602585.9520
MEM 757.437500 1782602586.0073
MEM 757.437500 1782602586.0626
MEM 757.437500 1782602586.1149
MEM 757.437500 1782602586.1658
MEM 757.437500 1782602586.2211
MEM 757.437500 1782602586.2764
MEM 757.437500 1782602586.3288
MEM 757.437500 1782602586.3810
MEM 757.437500 1782602586.4363
MEM 757.437500 1782602586.4916
MEM 757.437500 1782602586.5470
MEM 757.437500 1782602586.6024
MEM 757.437500 1782602586.6574
MEM 757.437500 1782602586.7084
MEM 757.437500 1782602586.7630
MEM 757.437500 1782602586.8157
MEM 757.437500 1782602586.8711
MEM 757.437500 1782602586.9241
MEM 757.437500 1782602586.9774
MEM 757.437500 1782602587.0326
MEM 757.437500 1782602587.0879
MEM 757.437500 1782602587.1428
MEM 757.437500 1782602587.1982
MEM 757.437500 1782602587.2523
MEM 757.437500 1782602587.3074
MEM 757.437500 1782602587.3625
MEM 757.437500 1782602587.4157
MEM 757.437500 1782602587.4695
MEM 757.437500 1782602587.5237
MEM 757.437500 1782602587.5741
MEM 757.437500 1782602587.6287
MEM 757.437500 1782602587.6834
MEM 757.437500 1782602587.7387
MEM 757.437500 1782602587.7908
MEM 757.437500 1782602587.8461
MEM 757.437500 1782602587.8987
MEM 757.437500 1782602587.9492
MEM 757.437500 1782602588.0023
MEM 757.437500 1782602588.0576
MEM 757.437500 1782602588.1129
MEM 757.437500 1782602588.1682
MEM 757.437500 1782602588.2231
MEM 757.437500 1782602588.2783
MEM 757.437500 1782602588.3336
MEM 757.437500 1782602588.3889
MEM 757.437500 1782602588.4442
MEM 757.437500 1782602588.4990
MEM 757.437500 1782602588.5522
MEM 757.437500 1782602588.6075
MEM 757.437500 1782602588.6628
MEM 757.437500 1782602588.7157
MEM 757.437500 1782602588.7711
MEM 757.437500 1782602588.8241
MEM 757.437500 1782602588.8794
MEM 757.437500 1782602588.9324
MEM 757.437500 1782602588.9857
MEM 757.437500 1782602589.0398
MEM 757.437500 1782602589.0940
MEM 757.437500 1782602589.1493
MEM 757.437500 1782602589.2047
MEM 757.437500 1782602589.2574
MEM 757.437500 1782602589.3126
MEM 757.437500 1782602589.3657
MEM 757.437500 1782602589.4211
MEM 757.437500 1782602589.4741
MEM 757.437500 1782602589.5295
MEM 757.437500 1782602589.5818
MEM 757.437500 1782602589.6324
MEM 757.437500 1782602589.6877
MEM 757.437500 1782602589.7407
MEM 757.437500 1782602589.7940
MEM 757.437500 1782602589.8491
MEM 757.437500 1782602589.9040
MEM 757.437500 1782602589.9574
MEM 757.437500 1782602590.0107
MEM 757.437500 1782602590.0660
MEM 757.437500 1782602590.1168
MEM 757.437500 1782602590.1717
MEM 757.437500 1782602590.2244
MEM 757.437500 1782602590.2797
MEM 757.437500 1782602590.3350
MEM 757.437500 1782602590.3898
MEM 757.437500 1782602590.4451
MEM 757.437500 1782602590.4990
MEM 757.437500 1782602590.5536
MEM 757.437500 1782602590.6088
MEM 757.437500 1782602590.6640
MEM 757.437500 1782602590.7189
MEM 757.437500 1782602590.7743
MEM 757.437500 1782602590.8289
MEM 757.437500 1782602590.8825
MEM 757.437500 1782602590.9342
MEM 757.437500 1782602590.9896
MEM 757.437500 1782602591.0449
MEM 757.437500 1782602591.0991
MEM 757.437500 1782602591.1544
MEM 757.437500 1782602591.2096
MEM 757.437500 1782602591.2649
MEM 757.437500 1782602591.3195
MEM 757.437500 1782602591.3731
MEM 757.437500 1782602591.4274
MEM 757.437500 1782602591.4823
MEM 757.437500 1782602591.5378
MEM 757.437500 1782602591.5925
MEM 757.437500 1782602591.6478
MEM 757.437500 1782602591.7031
MEM 757.437500 1782602591.7575
MEM 757.437500 1782602591.8127
MEM 757.437500 1782602591.8680
MEM 757.437500 1782602591.9232
MEM 757.437500 1782602591.9775
MEM 757.437500 1782602592.0324
MEM 757.437500 1782602592.0857
