CMDLINE ./build/main
MEM 0.656250 1782602547.6849
MEM 98.937500 1782602547.7400
MEM 99.625000 1782602547.7908
MEM 103.718750 1782602547.8463
MEM 103.718750 1782602547.9015
MEM 110.531250 1782602547.9567
MEM 123.343750 1782602548.0073
MEM 237.468750 1782602548.0626
MEM 266.140625 1782602548.1177
MEM 291.750000 1782602548.1729
MEM 291.750000 1782602548.2241
MEM 291.750000 1782602548.2775
MEM 297.781250 1782602548.3326
MEM 302.437500 1782602548.3877
MEM 302.453125 1782602548.4397
MEM 651.765625 1782602548.4907
MEM 756.937500 1782602548.5459
MEM 756.937500 1782602548.6012
MEM 756.937500 1782602548.6526
MEM 756.937500 1782602548.7080
MEM 756.937500 1782602548.7634
MEM 756.937500 1782602548.8186
MEM 756.937500 1782602548.8725
MEM 756.937500 1782602548.9293
MEM 756.937500 1782602548.9844
MEM 756.937500 1782602549.0397
MEM 756.937500 1782602549.0939
MEM 756.937500 1782602549.1446
MEM 756.937500 1782602549.1991
MEM 756.937500 1782602549.2516
MEM 756.937500 1782602549.3068
MEM 756.937500 1782602549.3627
MEM 756.937500 1782602549.4148
MEM 756.937500 1782602549.4704
MEM 754.703125 1782602549.5243
MEM 744.140625 1782602549.5823
MEM 708.937500 1782602549.6376
MEM 677.640625 1782602549.6914
MEM 653.921875 1782602549.7467
MEM 624.390625 1782602549.8019
MEM 611.406250 1782602549.8572
MEM 610.000000 1782602549.9097
MEM 610.406250 1782602549.9631
MEM 610.406250 1782602550.0189
MEM 610.500000 1782602550.0741
MEM 759.265625 1782602550.1277
MEM 1041.250000 1782602550.1813
MEM 1118.593750 1782602550.2366
MEM 1218.406250 1782602550.2919
MEM 1276.578125 1782602550.3430
MEM 1277.328125 1782602550.3981
MEM 1277.796875 1782602550.4509
MEM 881.843750 1782602550.5061
MEM 1278.187500 1782602550.5573
MEM 1278.187500 1782602550.6094
MEM 1278.187500 1782602550.6693
MEM 1278.187500 1782602550.7262
MEM 888.046875 1782602550.7814
MEM 1282.218750 1782602550.8337
MEM 1282.296875 1782602550.8871
MEM 1282.296875 1782602550.9407
MEM 1197.500000 1782602550.9959
MEM 1286.406250 1782602551.0510
MEM 1286.406250 1782602551.1031
MEM 1286.406250 1782602551.1584
MEM 1286.406250 1782602551.2157
MEM 990.390625 1782602551.2709
MEM 1286.734375 1782602551.3299
MEM 1286.734375 1782602551.3830
MEM 1286.734375 1782602551.4382
MEM 626.765625 1782602551.4934
MEM 1286.734375 1782602551.5486
MEM 1286.734375 1782602551.5993
MEM 1286.734375 1782602551.6509
MEM 1286.734375 1782602551.7013
MEM 837.125000 1782602551.7565
MEM 1286.734375 1782602551.8179
MEM 1286.734375 1782602551.8742
MEM 1286.734375 1782602551.9294
MEM 890.640625 1782602551.9823
MEM 1286.734375 1782602552.0375
MEM 1286.734375 1782602552.0907
MEM 1286.734375 1782602552.1490
MEM 1286.734375 1782602552.2042
MEM 887.562500 1782602552.2594
MEM 1287.125000 1782602552.3147
MEM 1287.125000 1782602552.3705
MEM 1287.125000 1782602552.4258
MEM 1287.125000 1782602552.4811
MEM 1163.781250 1782602552.5323
MEM 1287.140625 1782602552.5890
MEM 1287.140625 1782602552.6443
MEM 1287.140625 1782602552.7037
MEM 543.140625 1782602552.7573
MEM 551.546875 1782602552.8113
MEM 551.546875 1782602552.8662
MEM 555.640625 1782602552.9172
MEM 555.640625 1782602552.9689
MEM 572.859375 1782602553.0236
MEM 607.062500 1782602553.0788
MEM 624.437500 1782602553.1315
MEM 676.609375 1782602553.1865
MEM 719.296875 1782602553.2417
MEM 719.359375 1782602553.2948
MEM 719.375000 1782602553.3503
MEM 719.375000 1782602553.4033
MEM 719.375000 1782602553.4569
MEM 719.375000 1782602553.5122
MEM 719.375000 1782602553.5636
MEM 719.375000 1782602553.6187
MEM 850.718750 1782602553.6740
MEM 850.859375 1782602553.7255
MEM 850.859375 1782602553.7807
MEM 850.859375 1782602553.8364
MEM 850.859375 1782602553.8916
MEM 850.859375 1782602553.9448
MEM 850.859375 1782602554.0001
MEM 850.859375 1782602554.0553
MEM 850.859375 1782602554.1104
MEM 850.859375 1782602554.1663
MEM 850.859375 1782602554.2215
MEM 850.859375 1782602554.2767
MEM 850.937500 1782602554.3290
MEM 850.937500 1782602554.3807
MEM 851.062500 1782602554.4359
MEM 851.062500 1782602554.4868
MEM 851.062500 1782602554.5397
MEM 851.062500 1782602554.5923
MEM 851.062500 1782602554.6475
MEM 851.062500 1782602554.7031
MEM 851.062500 1782602554.7578
MEM 851.062500 1782602554.8127
MEM 851.062500 1782602554.8650
MEM 986.921875 1782602554.9222
MEM 986.984375 1782602554.9808
MEM 986.984375 1782602555.0314
MEM 782.718750 1782602555.0865
MEM 765.812500 1782602555.1417
MEM 765.812500 1782602555.1960
MEM 765.812500 1782602555.2512
MEM 765.828125 1782602555.3061
MEM 765.828125 1782602555.3621
MEM 765.828125 1782602555.4150
MEM 765.828125 1782602555.4702
MEM 765.828125 1782602555.5243
MEM 765.828125 1782602555.5773
MEM 765.828125 1782602555.6324
MEM 765.828125 1782602555.6864
MEM 765.828125 1782602555.7416
MEM 765.828125 1782602555.7968
MEM 765.828125 1782602555.8486
MEM 765.828125 1782602555.9023
MEM 765.828125 1782602555.9575
MEM 765.828125 1782602556.0080
MEM 765.828125 1782602556.0632
MEM 765.828125 1782602556.1153
MEM 765.828125 1782602556.1728
MEM 765.828125 1782602556.2280
MEM 765.828125 1782602556.2832
MEM 765.828125 1782602556.3453
MEM 765.828125 1782602556.4032
MEM 765.828125 1782602556.4584
MEM 765.828125 1782602556.5126
MEM 765.828125 1782602556.5678
MEM 765.828125 1782602556.6198
MEM 765.828125 1782602556.6750
MEM 765.828125 1782602556.7302
MEM 765.828125 1782602556.7865
MEM 765.828125 1782602556.8417
MEM 774.281250 1782602556.8970
MEM 757.375000 1782602556.9523
MEM 757.375000 1782602557.0075
MEM 757.375000 1782602557.0615
MEM 757.375000 1782602557.1167
MEM 757.375000 1782602557.1684
MEM 757.375000 1782602557.2198
MEM 757.375000 1782602557.2748
MEM 757.375000 1782602557.3300
MEM 757.375000 1782602557.3851
MEM 757.375000 1782602557.4403
MEM 757.375000 1782602557.4955
MEM 757.375000 1782602557.5474
MEM 757.375000 1782602557.6026
MEM 757.375000 1782602557.6564
MEM 757.375000 1782602557.7106
MEM 757.375000 1782602557.7658
MEM 757.375000 1782602557.8199
MEM 757.375000 1782602557.8751
MEM 757.375000 1782602557.9281
MEM 757.375000 1782602557.9833
MEM 757.375000 1782602558.0370
MEM 757.375000 1782602558.0922
MEM 757.375000 1782602558.1474
MEM 757.375000 1782602558.2026
MEM 757.375000 1782602558.2579
MEM 757.375000 1782602558.3131
MEM 757.375000 1782602558.3683
MEM 757.375000 1782602558.4197
MEM 757.375000 1782602558.4730
MEM 757.375000 1782602558.5243
MEM 757.375000 1782602558.5795
MEM 757.375000 1782602558.6319
MEM 757.375000 1782602558.6840
MEM 757.375000 1782602558.7342
MEM 757.375000 1782602558.7895
MEM 757.375000 1782602558.8447
MEM 757.375000 1782602558.8980
MEM 757.375000 1782602558.9533
MEM 757.375000 1782602559.0041
MEM 757.375000 1782602559.0573
MEM 757.375000 1782602559.1124
MEM 757.375000 1782602559.1675
MEM 757.375000 1782602559.2186
MEM 757.375000 1782602559.2738
MEM 757.375000 1782602559.3271
MEM 757.375000 1782602559.3807
MEM 757.375000 1782602559.4359
MEM 757.375000 1782602559.4901
MEM 757.375000 1782602559.5453
MEM 757.375000 1782602559.6006
MEM 757.375000 1782602559.6558
MEM 757.375000 1782602559.7110
MEM 757.375000 1782602559.7631
MEM 757.375000 1782602559.8181
MEM 757.375000 1782602559.8733
MEM 757.375000 1782602559.9273
MEM 757.375000 1782602559.9825
MEM 757.375000 1782602560.0364
MEM 757.375000 1782602560.0872
MEM 757.375000 1782602560.1397
MEM 757.375000 1782602560.1950
MEM 757.375000 1782602560.2481
MEM 757.375000 1782602560.3033
MEM 757.437500 1782602560.3586
MEM 757.437500 1782602560.4138
MEM 757.437500 1782602560.4689
MEM 757.437500 1782602560.5242
MEM 757.437500 1782602560.5774
MEM 757.437500 1782602560.6285
MEM 757.437500 1782602560.6837
MEM 757.437500 1782602560.7390
MEM 757.437500 1782602560.7943
MEM 757.437500 1782602560.8448
MEM 757.437500 1782602560.9002
MEM 757.437500 1782602560.9534
MEM 757.437500 1782602561.0059
MEM 757.437500 1782602561.0593
MEM 757.437500 1782602561.1116
MEM 757.437500 1782602561.1654
MEM 757.437500 1782602561.2200
MEM 757.437500 1782602561.2754
MEM 757.437500 1782602561.3279
MEM 757.437500 1782602561.3809
MEM 757.437500 1782602561.4357
MEM 757.437500 1782602561.4902
MEM 757.437500 1782602561.5441
MEM 757.437500 1782602561.5993
MEM 757.437500 1782602561.6547
MEM 757.437500 1782602561.7090
MEM 757.437500 1782602561.7639
MEM 757.437500 1782602561.8193
MEM 757.437500 1782602561.8733
MEM 757.437500 1782602561.9287
MEM 757.437500 1782602561.9840
MEM 757.437500 1782602562.0394
MEM 757.437500 1782602562.0947
MEM 757.437500 1782602562.1492
MEM 757.437500 1782602562.2024
MEM 757.437500 1782602562.2580
MEM 757.437500 1782602562.3107
MEM 757.437500 1782602562.3657
MEM 757.437500 1782602562.4211
MEM 757.437500 1782602562.4735
MEM 757.437500 1782602562.5290
MEM 757.437500 1782602562.5820
MEM 757.437500 1782602562.6334
MEM 757.437500 1782602562.6886
MEM 757.437500 1782602562.7403
MEM 757.437500 1782602562.7908
MEM 757.437500 1782602562.8412
MEM 757.437500 1782602562.8939
MEM 757.437500 1782602562.9482
MEM 757.437500 1782602563.0034
MEM 757.437500 1782602563.0586
MEM 757.437500 1782602563.1122
MEM 757.437500 1782602563.1648
MEM 757.437500 1782602563.2201
MEM 757.437500 1782602563.2754
MEM 757.437500 1782602563.3307
MEM 757.437500 1782602563.3857
MEM 757.437500 1782602563.4408
MEM 757.437500 1782602563.4959
MEM 757.437500 1782602563.5490
MEM 757.437500 1782602563.6043
MEM 757.437500 1782602563.6575
MEM 757.437500 1782602563.7129
MEM 757.437500 1782602563.7684
MEM 757.437500 1782602563.8237
MEM 757.437500 1782602563.8790
MEM 757.437500 1782602563.9324
MEM 757.437500 1782602563.9857
MEM 757.437500 1782602564.0407
MEM 757.437500 1782602564.0960
MEM 757.437500 1782602564.1481
MEM 757.437500 1782602564.2024
MEM 757.437500 1782602564.2565
MEM 757.437500 1782602564.3076
MEM 757.437500 1782602564.3607
MEM 757.437500 1782602564.4152
MEM 757.437500 1782602564.4669
MEM 757.437500 1782602564.5215
MEM 757.437500 1782602564.5740
MEM 757.437500 1782602564.6294
MEM 757.437500 1782602564.6824
MEM 757.437500 1782602564.7357
MEM 757.437500 1782602564.7908
MEM 757.437500 1782602564.8428
MEM 757.437500 1782602564.8981
MEM 757.437500 1782602564.9523
MEM 757.437500 1782602565.0075
MEM 757.437500 1782602565.0629
MEM 757.437500 1782602565.1180
MEM 757.437500 1782602565.1733
MEM 757.437500 1782602565.2275
MEM 757.437500 1782602565.2825
MEM 757.437500 1782602565.3357
MEM 757.437500 1782602565.3910
MEM 757.437500 1782602565.4463
MEM 757.437500 1782602565.4981
MEM 757.437500 1782602565.5491
MEM 757.437500 1782602565.6043
MEM 757.437500 1782602565.6596
MEM 757.437500 1782602565.7148
MEM 757.437500 1782602565.7702
MEM 757.437500 1782602565.8255
MEM 757.437500 1782602565.8808
MEM 757.437500 1782602565.9324
MEM 757.437500 1782602565.9857
MEM 757.437500 1782602566.0409
